1,2339239,Soberano,Bravos,Nuke,16,9,1
2,2339239,Soberano,Bravos,Dust2,22,20,1
3,2339238,Keyd,Isurus,Inferno,7,16,2
4,2339238,Keyd,Isurus,Nuke,16,12,1
5,2339148,DETONA,RED Canids,Train,9,16,2
6,2339148,DETONA,RED Canids,Nuke,14,16,2
7,2339323,Demolition Crew,HellRaisers,Mirage,12,16,2
8,2339147,W7M,Alma,Dust2,16,7,1
9,2339147,W7M,Alma,Mirage,16,14,1
10,2339321,AGO,Illuminar,Train,6,16,2
11,2339373,NiP,Vitality,Vertigo,12,16,2
12,2339367,Gen.G,FURIA,Inferno,19,15,1
13,2339367,Gen.G,FURIA,Nuke,16,7,1
14,2339069,Esper,AVANT,Mirage,4,16,2
15,2339374,Astralis,Cloud9,Train,16,12,1
16,2339374,Astralis,Cloud9,Overpass,16,7,1
17,2339373,NiP,Vitality,Nuke,10,16,2
18,2339375,Natus Vincere,FaZe,Dust2,16,14,1
19,2339376,Renegades,fnatic,Inferno,14,16,2
20,2339375,Natus Vincere,FaZe,Overpass,16,10,1
21,2339378,100 Thieves,G2,Mirage,3,16,2
22,2339378,100 Thieves,G2,Dust2,2,16,2
23,2339375,Natus Vincere,FaZe,Nuke,9,16,2
24,2339376,Renegades,fnatic,Dust2,4,16,2
25,2339362,ENCE,MIBR,Train,19,15,1
26,2339362,ENCE,MIBR,Nuke,8,16,2
27,2339363,North,Endpoint,Dust2,19,17,1
28,2339363,North,Endpoint,Vertigo,16,7,1
29,2339364,Complexity,MIBR,Dust2,16,9,1
30,2339364,Complexity,MIBR,Nuke,16,2,1
31,2339362,ENCE,MIBR,Overpass,11,16,2
32,2339366,FURIA,Complexity,Mirage,11,16,2
33,2339366,FURIA,Complexity,Nuke,16,14,1
34,2339366,FURIA,Complexity,Overpass,16,11,1
35,2339365,Gen.G,North,Dust2,16,13,1
36,2339365,Gen.G,North,Mirage,16,14,1
37,2339356,MIBR,Complexity,Dust2,11,16,2
38,2339360,Gen.G,Complexity,Inferno,16,13,1
39,2339359,FURIA,North,Overpass,16,3,1
40,2339361,Endpoint,forZe,Vertigo,28,26,1
41,2339361,Endpoint,forZe,Train,16,7,1
42,2339361,Endpoint,forZe,Inferno,12,16,2
43,2339358,ENCE,Gen.G,Nuke,14,16,2
